name,# followers,followees,location,link,ratio
@SenatorLudlam,53931,2481,* get a warrant *,https://twitter.com/SenatorLudlam,21.737605804111247
@PenguinBooksAus,53606,10769,Australia,https://twitter.com/PenguinBooksAus,4.977806667285727
@USFWSPacific,53258,10979,"Portland, OR",https://twitter.com/USFWSPacific,4.850897167319428
@PlanVerdeCDMX,52251,507,"Mxico, Distrito Federal",https://twitter.com/PlanVerdeCDMX,103.05917159763314
@CambriaWines,51359,46731,Santa Maria Valley,https://twitter.com/CambriaWines,1.099034901885258
@wbclimatechange,51090,381,"Washington, DC",https://twitter.com/wbclimatechange,134.09448818897638
@702sydney,50826,3067,"Sydney, Australia. ",https://twitter.com/702sydney,16.57189435930877
@Greenpeaceafric,50780,4425,Africa,https://twitter.com/Greenpeaceafric,11.475706214689266
@earthisland,49804,49111,"David Brower Center, Berkeley",https://twitter.com/earthisland,1.014110891653601
@retweetninja,48517,39354,In the shadows,https://twitter.com/retweetninja,1.2328352899324084
@yesmagazine,48497,15110,"Seattle, WA",https://twitter.com/yesmagazine,3.2095962938451357
@realestate_au,47709,10434,Australia,https://twitter.com/realestate_au,4.572455434157562
@earthblog,47244,24194,Earth,https://twitter.com/earthblog,1.9527155493097461
@amnestyOz,46294,4117,Sydney,https://twitter.com/amnestyOz,11.244595579305319
@pgarrett,44878,507,"Sydney, Australia",https://twitter.com/pgarrett,88.51676528599606
@Tony_Burke,44761,11289,,https://twitter.com/Tony_Burke,3.9650101869076093
@globalgreen,44682,5742,"Santa Monica, CA",https://twitter.com/globalgreen,7.781609195402299
@Reportingclimat,44573,27344,UK,https://twitter.com/Reportingclimat,1.6300833820947922
@FAOKnowledge,44516,15812,"Rome, Italy",https://twitter.com/FAOKnowledge,2.8153301290159374
@CSIROnews,44115,1595,Australia,https://twitter.com/CSIROnews,27.65830721003135
@CloverMoore,43610,7113,"Sydney, Australia",https://twitter.com/CloverMoore,6.131027695768312
@wendy_harmer,43251,1889,"Coll-a-bloody-roy, Sydney",https://twitter.com/wendy_harmer,22.89624139756485
@chatkoff,40781,36960,"T: 20.69787,-87.028336",https://twitter.com/chatkoff,1.1033820346320347
@firstdogonmoon,39792,4067,"Melbourne, Australia",https://twitter.com/firstdogonmoon,9.784116056060979
@WWF_Australia,39462,2178,Sydney Australia,https://twitter.com/WWF_Australia,18.118457300275484
@CityofAdelaide,38862,996,Adelaide,https://twitter.com/CityofAdelaide,39.01807228915663
@Asher_Wolf,38826,20757,,https://twitter.com/Asher_Wolf,1.870501517560341
@thebodyshopusa,37923,2727,,https://twitter.com/thebodyshopusa,13.906490649064907
@tcktcktck,37371,9801,Worldwide,https://twitter.com/tcktcktck,3.812978267523722
@KBBusiness,37197,41414,Australia,https://twitter.com/KBBusiness,0.8981745303520549
